stimulus_id,category,stimulus_name
0,altar,altar_01b.jpg
1,altar,altar_02s.jpg
2,altar,altar_03s.jpg
3,ashtray,ashtray_01s.jpg
4,ashtray,ashtray_02s.jpg
5,ashtray,ashtray_03n.jpg
6,bamboo,bamboo_01b.jpg
7,bamboo,bamboo_02s.jpg
8,bamboo,bamboo_03s.jpg
9,beaver,beaver_01b.jpg
10,beaver,beaver_02s.jpg
11,beaver,beaver_03s.jpg
12,bike,bike_01b.jpg
13,bike,bike_02s.jpg
14,bike,bike_03s.jpg
15,blind,blind_01b.jpg
16,blind,blind_02s.jpg
17,blind,blind_03s.jpg
18,bobsled,bobsled_01s.jpg
19,bobsled,bobsled_02s.jpg
20,bobsled,bobsled_03s.jpg
21,chest1,chest1_01b.jpg
22,chest1,chest1_02s.jpg
23,chest1,chest1_03s.jpg
24,chipmunk,chipmunk_01b.jpg
25,chipmunk,chipmunk_02n.jpg
26,chipmunk,chipmunk_03n.jpg
27,coat_rack,coat_rack_01b.jpg
28,coat_rack,coat_rack_02s.jpg
29,coat_rack,coat_rack_03s.jpg
30,cookie,cookie_01b.jpg
31,cookie,cookie_02s.jpg
32,cookie,cookie_03s.jpg
33,cow,cow_01b.jpg
34,cow,cow_02s.jpg
35,cow,cow_03s.jpg
36,crank,crank_01b.jpg
37,crank,crank_02s.jpg
38,crank,crank_03s.jpg
39,donut,donut_01b.jpg
40,donut,donut_02s.jpg
41,donut,donut_03s.jpg
42,dough,dough_01b.jpg
43,dough,dough_02s.jpg
44,dough,dough_03s.jpg
45,drain,drain_01b.jpg
46,drain,drain_02s.jpg
47,drain,drain_03s.jpg
48,dress,dress_01b.jpg
49,dress,dress_02s.jpg
50,dress,dress_03s.jpg
51,footprint,footprint_01b.jpg
52,footprint,footprint_02s.jpg
53,footprint,footprint_03s.jpg
54,hippopotamus,hippopotamus_01b.jpg
55,hippopotamus,hippopotamus_02s.jpg
56,hippopotamus,hippopotamus_03s.jpg
57,horse,horse_01b.jpg
58,horse,horse_02s.jpg
59,horse,horse_03s.jpg
60,horseshoe,horseshoe_01b.jpg
61,horseshoe,horseshoe_02s.jpg
62,horseshoe,horseshoe_03s.jpg
63,jar,jar_01s.jpg
64,jar,jar_02s.jpg
65,jar,jar_03s.jpg
66,joystick,joystick_01b.jpg
67,joystick,joystick_02s.jpg
68,joystick,joystick_03s.jpg
69,kimono,kimono_01b.jpg
70,kimono,kimono_02s.jpg
71,kimono,kimono_03s.jpg
72,lemonade,lemonade_01b.jpg
73,lemonade,lemonade_02s.jpg
74,lemonade,lemonade_03s.jpg
75,mousetrap,mousetrap_01b.jpg
76,mousetrap,mousetrap_02s.jpg
77,mousetrap,mousetrap_03s.jpg
78,nest,nest_01b.jpg
79,nest,nest_02s.jpg
80,nest,nest_03s.jpg
81,pan,pan_01b.jpg
82,pan,pan_02s.jpg
83,pan,pan_03s.jpg
84,peach,peach_01b.jpg
85,peach,peach_02n.jpg
86,peach,peach_03s.jpg
87,pear,pear_01b.jpg
88,pear,pear_02s.jpg
89,pear,pear_03s.jpg
90,pumpkin,pumpkin_01b.jpg
91,pumpkin,pumpkin_02s.jpg
92,pumpkin,pumpkin_03s.jpg
93,quill,quill_01b.jpg
94,quill,quill_02s.jpg
95,quill,quill_03s.jpg
96,seesaw,seesaw_01b.jpg
97,seesaw,seesaw_02s.jpg
98,seesaw,seesaw_03s.jpg
99,shredder,shredder_01b.jpg
100,shredder,shredder_02s.jpg
101,shredder,shredder_03s.jpg
102,stalagmite,stalagmite_01b.jpg
103,stalagmite,stalagmite_02s.jpg
104,stalagmite,stalagmite_03s.jpg
105,tent,tent_01b.jpg
106,tent,tent_02s.jpg
107,tent,tent_03s.jpg
108,uniform,uniform_01b.jpg
109,uniform,uniform_02s.jpg
110,uniform,uniform_03s.jpg
111,wallpaper,wallpaper_01b.jpg
112,wallpaper,wallpaper_02s.jpg
113,wallpaper,wallpaper_03s.jpg
114,wasp,wasp_01b.jpg
115,wasp,wasp_02s.jpg
116,wasp,wasp_03s.jpg
117,whip,whip_01b.jpg
118,whip,whip_02s.jpg
119,whip,whip_03s.jpg
